"ATA","Rank","Year"
"3611","1","01/01/2014"
"2211","2","01/01/2014"
"2763","3","01/01/2014"
"2712","4","01/01/2014"
"3426","5","01/01/2014"
"3241","6","01/01/2014"
"3428","7","01/01/2014"
"5211","8","01/01/2014"
"2821","9","01/01/2014"
"7830","10","01/01/2014"
