"ATA","Rank","Date"
"32","1","01/01/2011"
"27","2","01/01/2011"
"21","3","01/01/2011"
"22","4","01/01/2011"
"30","5","01/01/2011"
"34","6","01/01/2011"
"28","7","01/01/2011"
"33","8","01/01/2011"
"36","9","01/01/2011"
"29","10","01/01/2011"
"32","1","01/04/2011"
"27","2","01/04/2011"
"34","3","01/04/2011"
"49","4","01/04/2011"
"29","5","01/04/2011"
"22","6","01/04/2011"
"24","7","01/04/2011"
"36","8","01/04/2011"
"21","9","01/04/2011"
"28","10","01/04/2011"
"32","1","01/07/2011"
"34","2","01/07/2011"
"27","3","01/07/2011"
"21","4","01/07/2011"
"22","5","01/07/2011"
"29","6","01/07/2011"
"49","7","01/07/2011"
"28","8","01/07/2011"
"30","9","01/07/2011"
"33","10","01/07/2011"
"32","1","01/10/2011"
"27","2","01/10/2011"
"21","3","01/10/2011"
"34","4","01/10/2011"
"30","5","01/10/2011"
"33","6","01/10/2011"
"5","7","01/10/2011"
"28","8","01/10/2011"
"31","9","01/10/2011"
"29","10","01/10/2011"
"32","1","01/01/2012"
"27","2","01/01/2012"
"34","3","01/01/2012"
"28","4","01/01/2012"
"22","5","01/01/2012"
"49","6","01/01/2012"
"77","7","01/01/2012"
"21","8","01/01/2012"
"29","9","01/01/2012"
"36","10","01/01/2012"
"32","1","01/04/2012"
"27","2","01/04/2012"
"34","3","01/04/2012"
"31","4","01/04/2012"
"29","5","01/04/2012"
"28","6","01/04/2012"
"21","7","01/04/2012"
"22","8","01/04/2012"
"49","9","01/04/2012"
"33","10","01/04/2012"
"32","1","01/07/2012"
"27","2","01/07/2012"
"28","3","01/07/2012"
"34","4","01/07/2012"
"21","5","01/07/2012"
"49","6","01/07/2012"
"36","7","01/07/2012"
"22","8","01/07/2012"
"29","9","01/07/2012"
"23","10","01/07/2012"
"32","1","01/10/2012"
"27","2","01/10/2012"
"21","3","01/10/2012"
"34","4","01/10/2012"
"29","5","01/10/2012"
"28","6","01/10/2012"
"5","7","01/10/2012"
"22","8","01/10/2012"
"24","9","01/10/2012"
"49","10","01/10/2012"
"32","1","01/01/2013"
"27","2","01/01/2013"
"34","3","01/01/2013"
"28","4","01/01/2013"
"22","5","01/01/2013"
"21","6","01/01/2013"
"49","7","01/01/2013"
"52","8","01/01/2013"
"25","9","01/01/2013"
"29","10","01/01/2013"
"32","1","01/04/2013"
"27","2","01/04/2013"
"34","3","01/04/2013"
"29","4","01/04/2013"
"49","5","01/04/2013"
"5","6","01/04/2013"
"22","7","01/04/2013"
"28","8","01/04/2013"
"21","9","01/04/2013"
"25","10","01/04/2013"
"32","1","01/07/2013"
"27","2","01/07/2013"
"34","3","01/07/2013"
"5","4","01/07/2013"
"28","5","01/07/2013"
"22","6","01/07/2013"
"23","7","01/07/2013"
"73","8","01/07/2013"
"24","9","01/07/2013"
"29","10","01/07/2013"
"32","1","01/10/2013"
"27","2","01/10/2013"
"30","3","01/10/2013"
"34","4","01/10/2013"
"28","5","01/10/2013"
"21","6","01/10/2013"
"36","7","01/10/2013"
"29","8","01/10/2013"
"31","9","01/10/2013"
"49","10","01/10/2013"
"27","1","01/01/2014"
"32","2","01/01/2014"
"22","3","01/01/2014"
"28","4","01/01/2014"
"29","5","01/01/2014"
"21","6","01/01/2014"
"23","7","01/01/2014"
"34","8","01/01/2014"
"36","9","01/01/2014"
"49","10","01/01/2014"
"27","1","01/04/2014"
"32","2","01/04/2014"
"22","3","01/04/2014"
"34","4","01/04/2014"
"28","5","01/04/2014"
"29","6","01/04/2014"
"25","7","01/04/2014"
"49","8","01/04/2014"
"31","9","01/04/2014"
"56","10","01/04/2014"
"32","1","01/07/2014"
"22","2","01/07/2014"
"34","3","01/07/2014"
"27","4","01/07/2014"
"28","5","01/07/2014"
"36","6","01/07/2014"
"21","7","01/07/2014"
"29","8","01/07/2014"
"33","9","01/07/2014"
"49","10","01/07/2014"
"32","1","01/10/2014"
"27","2","01/10/2014"
"30","3","01/10/2014"
"28","4","01/10/2014"
"22","5","01/10/2014"
"21","6","01/10/2014"
"34","7","01/10/2014"
"29","8","01/10/2014"
"25","9","01/10/2014"
"52","10","01/10/2014"
"32","1","01/01/2015"
"27","2","01/01/2015"
"34","3","01/01/2015"
"22","4","01/01/2015"
"28","5","01/01/2015"
"49","6","01/01/2015"
"21","7","01/01/2015"
"29","8","01/01/2015"
"30","9","01/01/2015"
"25","10","01/01/2015"
"32","1","01/04/2015"
"28","2","01/04/2015"
"34","3","01/04/2015"
"27","4","01/04/2015"
"36","5","01/04/2015"
"22","6","01/04/2015"
"21","7","01/04/2015"
"24","8","01/04/2015"
"29","9","01/04/2015"
"30","10","01/04/2015"
"27","1","01/07/2015"
"34","2","01/07/2015"
"28","3","01/07/2015"
"32","4","01/07/2015"
"29","5","01/07/2015"
"36","6","01/07/2015"
"74","7","01/07/2015"
"21","8","01/07/2015"
"22","9","01/07/2015"
"31","10","01/07/2015"
"27","1","01/10/2015"
"32","2","01/10/2015"
"34","3","01/10/2015"
"22","4","01/10/2015"
"28","5","01/10/2015"
"21","6","01/10/2015"
"23","7","01/10/2015"
"49","8","01/10/2015"
"29","9","01/10/2015"
"24","10","01/10/2015"
