"ATA","Rank","Date"
"27","1","01/01/1995"
"32","2","01/01/1995"
"22","3","01/01/1995"
"28","4","01/01/1995"
"34","5","01/01/1995"
"24","6","01/01/1995"
"49","7","01/01/1995"
"30","8","01/01/1995"
"31","9","01/01/1995"
"78","10","01/01/1995"
"27","1","01/01/1998"
"32","2","01/01/1998"
"78","3","01/01/1998"
"34","4","01/01/1998"
"36","5","01/01/1998"
"28","6","01/01/1998"
"22","7","01/01/1998"
"21","8","01/01/1998"
"29","9","01/01/1998"
"24","10","01/01/1998"
"32","1","01/01/2001"
"27","2","01/01/2001"
"22","3","01/01/2001"
"29","4","01/01/2001"
"34","5","01/01/2001"
"21","6","01/01/2001"
"30","7","01/01/2001"
"28","8","01/01/2001"
"24","9","01/01/2001"
"78","10","01/01/2001"
"32","1","01/01/2004"
"27","2","01/01/2004"
"34","3","01/01/2004"
"21","4","01/01/2004"
"22","5","01/01/2004"
"52","6","01/01/2004"
"36","7","01/01/2004"
"29","8","01/01/2004"
"72","9","01/01/2004"
"24","10","01/01/2004"
"32","1","01/01/2007"
"27","2","01/01/2007"
"34","3","01/01/2007"
"28","4","01/01/2007"
"21","5","01/01/2007"
"22","6","01/01/2007"
"36","7","01/01/2007"
"30","8","01/01/2007"
"52","9","01/01/2007"
"24","10","01/01/2007"
"32","1","01/01/2010"
"27","2","01/01/2010"
"34","3","01/01/2010"
"52","4","01/01/2010"
"21","5","01/01/2010"
"30","6","01/01/2010"
"28","7","01/01/2010"
"36","8","01/01/2010"
"24","9","01/01/2010"
"29","10","01/01/2010"
"27","1","01/01/2013"
"34","2","01/01/2013"
"32","3","01/01/2013"
"28","4","01/01/2013"
"36","5","01/01/2013"
"52","6","01/01/2013"
"22","7","01/01/2013"
"25","8","01/01/2013"
"30","9","01/01/2013"
"24","10","01/01/2013"
