"ATA","Rank","Year"
"3611","1","01/01/2014"
"2211","2","01/01/2014"
"8011","3","01/01/2014"
"3011","4","01/01/2014"
"3241","5","01/01/2014"
"2131","6","01/01/2014"
"7311","7","01/01/2014"
"7421","8","01/01/2014"
"3428","9","01/01/2014"
"3242","10","01/01/2014"
