"ATA","Rank","Date"
"77","10","01/01/2009"
"32","1","01/01/2010"
"27","2","01/01/2010"
"34","3","01/01/2010"
"29","4","01/01/2010"
"5","5","01/01/2010"
"28","6","01/01/2010"
"22","7","01/01/2010"
"21","8","01/01/2010"
"30","9","01/01/2010"
"31","10","01/01/2010"
"32","1","01/01/2011"
"27","2","01/01/2011"
"34","3","01/01/2011"
"21","4","01/01/2011"
"29","5","01/01/2011"
"36","6","01/01/2011"
"22","7","01/01/2011"
"49","8","01/01/2011"
"30","9","01/01/2011"
"28","10","01/01/2011"
"32","1","01/01/2012"
"27","2","01/01/2012"
"28","3","01/01/2012"
"34","4","01/01/2012"
"21","5","01/01/2012"
"22","6","01/01/2012"
"24","7","01/01/2012"
"31","8","01/01/2012"
"36","9","01/01/2012"
"49","10","01/01/2012"
"32","1","01/01/2013"
"27","2","01/01/2013"
"34","3","01/01/2013"
"5","4","01/01/2013"
"29","5","01/01/2013"
"28","6","01/01/2013"
"36","7","01/01/2013"
"49","8","01/01/2013"
"21","9","01/01/2013"
"30","10","01/01/2013"
"32","1","01/01/2014"
"27","2","01/01/2014"
"34","3","01/01/2014"
"22","4","01/01/2014"
"28","5","01/01/2014"
"21","6","01/01/2014"
"49","7","01/01/2014"
"29","8","01/01/2014"
"36","9","01/01/2014"
"73","10","01/01/2014"
"27","1","01/01/2015"
"32","2","01/01/2015"
"34","3","01/01/2015"
"28","4","01/01/2015"
"21","5","01/01/2015"
"36","6","01/01/2015"
"30","7","01/01/2015"
"22","8","01/01/2015"
"49","9","01/01/2015"
"29","10","01/01/2015"
