"ATA","Rank","Date"
"28","1","01/01/2014"
"27","2","01/01/2014"
"32","3","01/01/2014"
"78","4","01/01/2014"
"29","5","01/01/2014"
"72","6","01/01/2014"
"73","7","01/01/2014"
"36","8","01/01/2014"
"52","9","01/01/2014"
"22","10","01/01/2014"
"27","1","01/04/2014"
"32","2","01/04/2014"
"28","3","01/04/2014"
"56","4","01/04/2014"
"29","5","01/04/2014"
"21","6","01/04/2014"
"31","7","01/04/2014"
"24","8","01/04/2014"
"25","9","01/04/2014"
"52","10","01/04/2014"
"27","1","01/07/2014"
"21","2","01/07/2014"
"32","3","01/07/2014"
"22","4","01/07/2014"
"25","5","01/07/2014"
"36","6","01/07/2014"
"56","7","01/07/2014"
"23","8","01/07/2014"
"24","9","01/07/2014"
"26","10","01/07/2014"
"32","1","01/10/2014"
"30","2","01/10/2014"
"27","3","01/10/2014"
"29","4","01/10/2014"
"36","5","01/10/2014"
"25","6","01/10/2014"
"28","7","01/10/2014"
"34","8","01/10/2014"
"52","9","01/10/2014"
"57","10","01/10/2014"
"29","1","01/01/2015"
"32","2","01/01/2015"
"27","3","01/01/2015"
"21","4","01/01/2015"
"30","5","01/01/2015"
"34","6","01/01/2015"
"49","7","01/01/2015"
"72","8","01/01/2015"
"22","9","01/01/2015"
"28","10","01/01/2015"
"32","1","01/04/2015"
"29","2","01/04/2015"
"27","3","01/04/2015"
"30","4","01/04/2015"
"21","5","01/04/2015"
"24","6","01/04/2015"
"34","7","01/04/2015"
"5","8","01/04/2015"
"33","9","01/04/2015"
"36","10","01/04/2015"
"27","1","01/07/2015"
"28","2","01/07/2015"
"29","3","01/07/2015"
"74","4","01/07/2015"
"32","5","01/07/2015"
"56","6","01/07/2015"
"21","7","01/07/2015"
"31","8","01/07/2015"
"36","9","01/07/2015"
"38","10","01/07/2015"
"32","1","01/10/2015"
"28","2","01/10/2015"
"29","3","01/10/2015"
"74","4","01/10/2015"
"34","5","01/10/2015"
"22","6","01/10/2015"
"23","7","01/10/2015"
"30","8","01/10/2015"
"53","9","01/10/2015"
"71","10","01/10/2015"
